,symbol,sector,allocation
256,VFH,Investment Banking & Brokerage,0.069
257,VFH,Life & Health Insurance,0.035
258,VFH,Mortgage REITs,0.009
259,VFH,Multi-line Insurance,0.015
260,VFH,Multi-Sector Holdings,0.087
261,VFH,Property & Casualty Insurance,0.081
262,VFH,Regional Banks,0.067
263,VFH,Reinsurance,0.008
264,VFH,Transaction & Payment Processing Service,0.18
265,VIIIX,Communication Services,0.087
266,VIIIX,Consumer Discretionary,0.106
267,VIIIX,Consumer Staples,0.066
268,VIIIX,Energy,0.045
269,VIIIX,Financials,0.127
270,VIIIX,Health Care,0.132
271,VIIIX,Industrials,0.083
272,VIIIX,Information Technology,0.281
273,VIIIX,Materials,0.024
274,VIIIX,Real Estate,0.024
275,VIIIX,Utilities,0.025
276,MGK,Basic Materials,0.014
277,MGK,Consumer Discretionary,0.218
278,MGK,Consumer Staples,0.006
279,MGK,Energy,0.006
280,MGK,Financials,0.016
281,MGK,Health Care,0.077
282,MGK,Industrials,0.076
283,MGK,Real Estate,0.012
284,MGK,Technology,0.568
285,MGK,Telecommunications,0.007
286,VINAX,Aerospace & Defense,0.165
287,VINAX,Agricultural & Farm Machinery,0.03
288,VINAX,Air Freight & Logistics,0.05
289,VINAX,Building Products,0.067
290,VINAX,Cargo Ground Transportation,0.026
291,VINAX,Commercial Printing,0.001
292,VINAX,Construction & Engineering,0.025
293,VINAX,Construction Machinery & Heavy Transportation Equipment,0.06
294,VINAX,Data Processing & Outsourced Services,0.012
295,VINAX,Diversified Support Services,0.024
296,VINAX,Electrical Components & Equipment,0.072
297,VINAX,Environmental & Facilities Services,0.048
298,VINAX,Heavy Electrical Equipment,0.001
299,VINAX,Human Resource & Employment Services,0.048
300,VINAX,Industrial Conglomerates,0.074
301,VINAX,Industrial Machinery & Supplies & Components,0.105
302,VINAX,Marine Transportation,0.002
303,VINAX,Office Services & Supplies,0.003
304,VINAX,Passenger Airlines,0.016
305,VINAX,Passenger Ground Transportation,0.022
306,VINAX,Rail Transportation,0.059
307,VINAX,Research & Consulting Services,0.04
308,VINAX,Security & Alarm Services,0.001
309,VINAX,Trading Companies & Distributors,0.05
310,VIEIX,Communication Services,0.041
311,VIEIX,Consumer Discretionary,0.108
312,VIEIX,Consumer Staples,0.03
313,VIEIX,Energy,0.055
314,VIEIX,Financials,0.163
315,VIEIX,Health Care,0.117
316,VIEIX,Industrials,0.185
317,VIEIX,Information Technology,0.182
318,VIEIX,Materials,0.042
319,VIEIX,Real Estate,0.058
320,VIEIX,Utilities,0.019
321,VWINX,Consumer Discretionary,0.047
322,VWINX,Consumer Staples,0.14
323,VWINX,Energy,0.122
324,VWINX,Financials,0.164
325,VWINX,Health Care,0.153
326,VWINX,Industrials,0.11
327,VWINX,Information Technology,0.091
328,VWINX,Materials,0.054
329,VWINX,Real Estate,0.043
330,VWINX,Utilities,0.076
331,VQNPX,Communication Services,0.083
332,VQNPX,Consumer Discretionary,0.143
333,VQNPX,Consumer Staples,0.042
334,VQNPX,Energy,0.055
335,VQNPX,Financials,0.127
336,VQNPX,Health Care,0.124
337,VQNPX,Industrials,0.092
338,VQNPX,Information Technology,0.297
339,VQNPX,Materials,0.014
340,VQNPX,Real Estate,0.009
341,VQNPX,Utilities,0.014
342,VTWO,Basic Materials,0.039
343,VTWO,Consumer Discretionary,0.129
344,VTWO,Consumer Staples,0.032
345,VTWO,Energy,0.09
346,VTWO,Financials,0.154
347,VTWO,Health Care,0.141
348,VTWO,Industrials,0.186
349,VTWO,Real Estate,0.063
350,VTWO,Technology,0.122
351,VTWO,Telecommunications,0.014
352,VTWO,Utilities,0.03
353,VIOG,Communication Services,0.021
354,VIOG,Consumer Discretionary,0.08
355,VIOG,Consumer Staples,0.067
356,VIOG,Energy,0.062
357,VIOG,Financials,0.165
358,VIOG,Health Care,0.126
359,VIOG,Industrials,0.192
360,VIOG,Information Technology,0.165
361,VIOG,Materials,0.059
362,VIOG,Real Estate,0.039
363,VIOG,Utilities,0.024
364,VDIGX,Consumer Discretionary,0.109
365,VDIGX,Consumer Staples,0.154
366,VDIGX,Financials,0.147
367,VDIGX,Health Care,0.191
368,VDIGX,Industrials,0.217
369,VDIGX,Information Technology,0.094
370,VDIGX,Materials,0.052
371,VDIGX,Real Estate,0.028
372,VDIGX,Utilities,0.008
373,IVOO,Communication Services,0.017
374,IVOO,Consumer Discretionary,0.151
375,IVOO,Consumer Staples,0.044
376,IVOO,Energy,0.063
377,IVOO,Financials,0.151
378,IVOO,Health Care,0.082
379,IVOO,Industrials,0.213
380,IVOO,Information Technology,0.1
381,IVOO,Materials,0.07
382,IVOO,Real Estate,0.074
