,symbol,fund_return_ytd,average_annual_fund_return_for_1_year,average_annual_fund_return_for_3_year,average_annual_fund_return_for_5_year,average_annual_fund_return_for_10_year,average_annual_fund_return_since_inception,benchmark_return_ytd,average_annual_benchmark_return_for_1_year,average_annual_benchmark_return_for_3_year,average_annual_benchmark_return_for_5_year,average_annual_benchmark_return_for_10_year,average_annual_benchmark_return_since_inception
216,VFIRX,0.022,0.0216,-0.0107,0.0104,0.0084,0.0239,0.0276,0.0279,-0.0133,0.011,0.0092,0.0251
217,VTCAX,0.3728,0.2745,-0.0002,0.0771,0.0526,0.0669,0.3697,0.2717,-0.0005,0.0768,0.0523,0.0635
218,VFWSX,0.1012,0.0768,0.0209,0.0536,0.0377,0.0278,0.1025,0.0964,0.0212,0.0549,0.0381,0.0287
219,VTEB,0.0346,0.031,-0.0101,0.0196,,0.0206,0.0387,0.0374,-0.0082,0.0203,0.0269,0.0212
220,VSIIX,0.0562,-0.0038,0.0939,0.0715,0.0778,0.0949,0.0554,-0.0045,0.0939,0.0712,0.0777,0.093
221,VCSAX,-0.0089,-0.0416,0.0533,0.0782,0.0806,0.0924,-0.0085,-0.0412,0.0539,0.079,0.0815,0.0929
222,VOE,0.031,-0.0154,0.0815,0.0746,0.081,0.0811,0.0307,-0.0155,0.082,0.0749,0.0815,0.0816
223,VTHR,0.1965,0.1266,0.0816,0.1169,0.1106,0.1274,0.1961,0.1261,0.0826,0.1177,0.1119,0.1287
224,VMNFX,0.1066,0.1397,0.1547,0.0445,0.0294,0.0293,0.0477,0.0512,0.0209,0.0186,0.012,0.0191
225,VGWLX,0.0845,0.0643,0.0541,0.0736,,0.0631,0.1331,0.1001,0.0346,0.0733,,0.0617
226,VMCTX,0.2457,0.1711,0.0977,0.1313,0.1224,0.1046,0.2459,0.1714,0.0981,0.1317,0.1229,0.1051
227,VWIAX,0.0259,0.0095,0.0085,0.0464,0.0511,0.0625,0.0245,0.0089,0.0031,0.0394,0.0465,0.0537
228,VTWAX,0.1587,0.1077,0.0566,,,0.0939,0.1601,0.1167,0.0574,0.0913,0.0781,0.0945
229,IVOG,0.0934,0.0274,0.0377,0.0756,0.0845,0.1125,0.0939,0.028,0.039,0.0771,0.0862,0.1143
230,VMVFX,0.0527,0.0243,0.0507,0.0452,,0.0737,0.174,0.1207,0.0796,0.1044,0.0937,0.0966
231,VXF,0.1357,0.0613,0.0021,0.0724,0.0779,0.0889,0.1317,0.0577,0.0005,0.071,0.0767,0.088
232,VFMF,0.094,0.0349,0.1212,0.0897,,0.0808,0.1961,0.1261,0.0826,0.1177,0.1119,0.1102
233,VGIVX,0.0437,0.0446,-0.0457,0.0088,,0.0217,0.0519,0.054,-0.0443,0.0096,0.0256,0.0226
234,VWO,0.0587,0.0346,-0.0231,0.0338,0.0257,0.0522,0.0578,0.0487,-0.0211,0.0368,0.0265,0.0536
235,VSCSX,0.0428,0.0436,-0.0058,0.0206,0.0184,0.0216,0.0425,0.0439,-0.0057,0.0218,0.0194,0.0229
236,VIOO,0.029,-0.04,0.0573,0.0559,0.0746,0.1133,0.0289,-0.0402,0.0585,0.0563,0.0751,0.1142
237,VEOIX,-0.0167,-0.0649,,,,-0.0545,0.166,0.1201,0.0569,0.0907,0.076,0.1412
238,VBIAX,0.123,0.0798,0.0307,0.0752,0.0737,0.0639,0.124,0.0824,0.0332,0.0786,0.0761,0.0654
239,VWEAX,0.081,0.0757,0.0111,0.0407,0.0412,0.0587,0.0855,0.0793,0.0103,0.0426,0.0417,
240,VIMAX,0.0826,0.0245,0.0449,0.0888,0.0898,0.0953,0.0826,0.0247,0.0451,0.089,0.0901,0.0954
241,VIOV,0.013,-0.0536,0.0813,0.0564,0.0687,0.1066,0.0131,-0.053,0.083,0.0573,0.0699,0.1081
242,VHCAX,0.1875,0.1257,0.0749,0.1075,0.1228,0.1105,0.17,0.0998,0.0043,0.1005,0.1011,0.0938
243,VTMGX,0.1133,0.0893,0.0359,0.0599,0.0412,0.0425,0.1158,0.1113,0.0347,0.0605,0.0411,0.0418
244,VITSX,0.1965,0.1264,0.0815,0.117,0.1115,0.0842,0.1961,0.1259,0.0814,0.1169,0.1116,0.0839
245,VWICX,0.1003,0.0851,0.0522,,,0.0629,0.1009,0.0926,0.0167,0.0506,0.0341,0.0417
246,VLISX,0.2168,0.1453,0.0887,0.1243,0.117,0.0983,0.2167,0.1453,0.0889,0.1246,0.1174,0.0986
247,VTI,0.1972,0.1273,0.0814,0.1171,0.1115,0.0806,0.1961,0.1259,0.0814,0.1169,0.1116,0.0807
248,VIAAX,0.0893,0.0657,0.0243,0.0749,,0.0753,0.0952,0.0895,0.0264,0.0777,,0.0781
249,BLV,-0.0017,-0.0253,-0.1103,0.0036,0.0241,0.0422,-0.0072,-0.0209,-0.1103,0.0032,0.0238,0.0421
250,VXUS,0.1035,0.079,0.022,0.0527,0.0372,0.0386,0.1009,0.0952,0.0201,0.0538,0.0378,0.039
251,VB,0.0726,0.009,0.0375,0.0699,0.0766,0.0854,0.0708,0.0071,0.037,0.0695,0.0763,0.0849
252,VGK,0.1403,0.1214,0.0555,0.07,0.0406,0.0472,0.14,0.1423,0.0523,0.07,0.0403,0.0463
253,VONV,0.0561,0.0139,0.0818,0.0747,0.0797,0.1018,0.0561,0.0136,0.0827,0.0752,0.0809,0.103
254,VWLTX,0.0443,0.043,-0.0119,0.0223,0.0322,0.0537,0.0398,0.0428,-0.0096,0.0203,0.0277,
255,EDV,-0.0968,-0.1248,-0.203,-0.0395,0.0129,0.0311,-0.1028,-0.1244,-0.2034,-0.0384,0.0135,0.0327
256,VFSTX,0.042,0.043,-0.0066,0.0181,0.0165,0.0538,0.0406,0.0417,-0.0065,0.0203,0.0179,0.0597
