,symbol,date,price
291,VTMSX,2023-02-10,84.34
292,VTMSX,2023-02-13,85.41
293,VTMSX,2023-02-14,85.11
294,VTMSX,2023-02-15,85.95
295,VTMSX,2023-02-16,85.39
296,VTMSX,2023-02-17,85.49
297,VTMSX,2023-02-21,82.94
298,VTMSX,2023-02-22,83.23
299,VTMSX,2023-02-23,83.78
300,VTMSX,2023-02-24,83.16
301,VTMSX,2023-02-27,83.33
302,VTMSX,2023-02-28,83.29
303,VTMSX,2023-03-01,83.47
304,VTMSX,2023-03-02,83.72
305,VTMSX,2023-03-03,84.68
306,VTMSX,2023-03-06,82.78
307,VTMSX,2023-03-07,81.96
308,VTMSX,2023-03-08,82.15
309,VTMSX,2023-03-09,80.22
310,VTMSX,2023-03-10,78.22
311,VTMSX,2023-03-13,76.32
312,VTMSX,2023-03-14,77.87
313,VTMSX,2023-03-15,76.58
314,VTMSX,2023-03-16,77.85
315,VTMSX,2023-03-17,75.71
316,VTMSX,2023-03-20,76.72
317,VTMSX,2023-03-21,78.0
318,VTMSX,2023-03-22,75.98
319,VTMSX,2023-03-23,75.06
320,VTMSX,2023-03-24,75.86
321,VTMSX,2023-03-27,76.64
322,VTMSX,2023-03-28,76.72
323,VTMSX,2023-03-29,77.22
324,VTMSX,2023-03-30,77.19
325,VTMSX,2023-03-31,78.69
326,VTMSX,2023-04-03,78.74
327,VTMSX,2023-04-04,77.19
328,VTMSX,2023-04-05,76.56
329,VTMSX,2023-04-06,76.58
330,VTMSX,2023-04-10,77.5
331,VTMSX,2023-04-11,78.07
332,VTMSX,2023-04-12,77.47
333,VTMSX,2023-04-13,78.14
334,VTMSX,2023-04-14,77.53
335,VTMSX,2023-04-17,77.99
336,VTMSX,2023-04-18,77.58
337,VTMSX,2023-04-19,77.82
338,VTMSX,2023-04-20,77.54
339,VTMSX,2023-04-21,77.3
340,VTMSX,2023-04-24,77.29
341,VTMSX,2023-04-25,75.3
342,VTMSX,2023-04-26,74.62
343,VTMSX,2023-04-27,75.76
344,VTMSX,2023-04-28,76.52
345,VTMSX,2023-05-01,76.45
346,VTMSX,2023-05-02,75.03
347,VTMSX,2023-05-03,75.06
348,VTMSX,2023-05-04,74.15
349,VTMSX,2023-05-05,75.93
350,VTMSX,2023-05-08,75.55
351,VTMSX,2023-05-09,75.1
352,VTMSX,2023-05-10,75.4
353,VTMSX,2023-05-11,74.88
354,VTMSX,2023-05-12,74.69
355,VTMSX,2023-05-15,75.47
356,VTMSX,2023-05-16,74.51
357,VTMSX,2023-05-17,76.29
358,VTMSX,2023-05-18,76.96
359,VTMSX,2023-05-19,76.4
360,VTMSX,2023-05-22,76.96
361,VTMSX,2023-05-23,76.89
362,VTMSX,2023-05-24,75.92
363,VTMSX,2023-05-25,75.69
364,VTMSX,2023-05-26,76.55
365,VTMSX,2023-05-30,76.17
366,VTMSX,2023-05-31,75.2
367,VTMSX,2023-06-01,75.85
368,VTMSX,2023-06-02,78.93
369,VTMSX,2023-06-05,77.33
370,VTMSX,2023-06-06,79.52
371,VTMSX,2023-06-07,81.43
372,VTMSX,2023-06-08,80.91
373,VTMSX,2023-06-09,80.24
374,VTMSX,2023-06-12,80.42
375,VTMSX,2023-06-13,81.18
376,VTMSX,2023-06-14,80.12
377,VTMSX,2023-06-15,80.84
378,VTMSX,2023-06-16,80.52
379,VTMSX,2023-06-20,80.17
380,VTMSX,2023-06-21,80.07
381,VTMSX,2023-06-22,79.26
382,VTMSX,2023-06-23,77.97
383,VTMSX,2023-06-26,78.43
384,VTMSX,2023-06-27,79.79
385,VTMSX,2023-06-28,79.57
386,VTMSX,2023-06-29,80.93
387,VTMSX,2023-06-30,81.03
388,VTMSX,2023-07-03,81.54
389,VTMSX,2023-07-05,80.32
390,VTMSX,2023-07-06,79.17
391,VTMSX,2023-07-07,79.97
392,VTMSX,2023-07-10,81.02
393,VTMSX,2023-07-11,81.79
394,VTMSX,2023-07-12,82.66
395,VTMSX,2023-07-13,83.18
396,VTMSX,2023-07-14,82.45
397,VTMSX,2023-07-17,83.08
398,VTMSX,2023-07-18,84.24
399,VTMSX,2023-07-19,84.73
400,VTMSX,2023-07-20,84.07
401,VTMSX,2023-07-21,83.79
402,VTMSX,2023-07-24,84.29
403,VTMSX,2023-07-25,84.24
404,VTMSX,2023-07-26,84.82
405,VTMSX,2023-07-27,83.98
406,VTMSX,2023-07-28,84.76
407,VTMSX,2023-07-31,85.52
408,VTMSX,2023-08-01,85.1
409,VTMSX,2023-08-02,84.36
410,VTMSX,2023-08-03,84.06
411,VTMSX,2023-08-04,84.02
412,VTMSX,2023-08-07,84.51
413,VTMSX,2023-08-08,83.95
414,VTMSX,2023-08-09,83.37
415,VTMSX,2023-08-10,83.06
416,VTMSX,2023-08-11,82.99
417,VTMSX,2023-08-14,82.58
418,VTMSX,2023-08-15,81.64
419,VTMSX,2023-08-16,80.69
420,VTMSX,2023-08-17,79.89
421,VTMSX,2023-08-18,80.25
422,VTMSX,2023-08-21,79.91
423,VTMSX,2023-08-22,79.72
424,VTMSX,2023-08-23,80.57
425,VTMSX,2023-08-24,79.82
426,VTMSX,2023-08-25,79.93
427,VTMSX,2023-08-28,80.61
428,VTMSX,2023-08-29,81.67
429,VTMSX,2023-08-30,82.05
430,VTMSX,2023-08-31,81.98
431,VTMSX,2023-09-01,82.81
432,VTMSX,2023-09-05,80.36
433,VTMSX,2023-09-06,80.18
434,VTMSX,2023-09-07,79.52
435,VTMSX,2023-09-08,79.22
436,VTMSX,2023-09-11,79.28
437,VTMSX,2023-09-12,79.21
438,VTMSX,2023-09-13,78.76
439,VTMSX,2023-09-14,80.08
440,VTMSX,2023-09-15,79.31
441,VTMSX,2023-09-18,78.86
442,VTMSX,2023-09-19,78.66
443,VTMSX,2023-09-20,78.03
444,VTMSX,2023-09-21,76.9
445,VTMSX,2023-09-22,76.66
446,VTMSX,2023-09-25,77.02
447,VTMSX,2023-09-26,75.88
448,VTMSX,2023-09-27,76.4
449,VTMSX,2023-09-28,77.32
450,VTMSX,2023-09-29,76.81
451,VTMSX,2023-10-02,75.81
452,VTMSX,2023-10-03,74.51
453,VTMSX,2023-10-04,74.72
454,VTMSX,2023-10-05,74.61
455,VTMSX,2023-10-06,75.04
456,VTMSX,2023-10-09,75.67
457,VTMSX,2023-10-10,76.51
458,VTMSX,2023-10-11,76.63
459,VTMSX,2023-10-12,75.18
460,VTMSX,2023-10-13,74.3
461,VTMSX,2023-10-16,75.62
462,VTMSX,2023-10-17,76.49
463,VTMSX,2023-10-18,75.05
464,VTMSX,2023-10-19,73.89
465,VTMSX,2023-10-20,73.01
466,VTMSX,2023-10-23,72.31
467,VTMSX,2023-10-24,72.78
468,VTMSX,2023-10-25,71.89
469,VTMSX,2023-10-26,72.1
470,VTMSX,2023-10-27,71.38
471,VTMSX,2023-10-30,71.84
472,VTMSX,2023-10-31,72.41
473,VTMSX,2023-11-01,72.75
474,VTMSX,2023-11-02,74.69
475,VTMSX,2023-11-03,76.73
476,VTMSX,2023-11-06,75.94
477,VTMSX,2023-11-07,75.42
478,VTMSX,2023-11-08,74.73
479,VTMSX,2023-11-09,73.75
480,VTMSX,2023-11-10,74.51
481,VTMSX,2023-11-13,74.47
482,VTMSX,2023-11-14,78.56
483,VTMSX,2023-11-15,78.7
484,VTMSX,2023-11-16,77.48
485,VTMSX,2023-11-17,78.34
486,VTMSX,2023-11-20,78.67
487,VTMSX,2023-11-21,77.71
488,VTMSX,2023-11-22,78.14
489,VTMSX,2023-11-24,78.54
490,VTMSX,2023-11-27,78.28
491,VTMSX,2023-11-28,77.87
492,VTMSX,2023-11-29,78.15
493,VTMSX,2023-11-30,78.38
494,VTMSX,2023-12-01,80.64
495,VTMSX,2023-12-04,81.7
496,VTMSX,2023-12-05,80.46
497,VTMSX,2023-12-06,80.3
498,VTMSX,2023-12-07,81.25
499,VTMSX,2023-12-08,81.71
500,VTMSX,2023-12-11,82.14
501,VTMSX,2023-12-12,81.98
502,VCORX,2022-12-12,9.1
503,VCORX,2022-12-13,9.16
504,VCORX,2022-12-14,9.18
505,VCORX,2022-12-15,9.19
506,VCORX,2022-12-16,9.17
507,VCORX,2022-12-19,9.12
508,VCORX,2022-12-20,9.06
509,VCORX,2022-12-21,9.08
510,VCORX,2022-12-22,9.05
511,VCORX,2022-12-23,9.01
512,VCORX,2022-12-27,8.96
513,VCORX,2022-12-28,8.95
514,VCORX,2022-12-29,8.98
515,VCORX,2022-12-30,8.95
516,VCORX,2023-01-03,8.99
517,VCORX,2023-01-04,9.04
518,VCORX,2023-01-05,9.03
519,VCORX,2023-01-06,9.12
520,VCORX,2023-01-09,9.15
521,VCORX,2023-01-10,9.11
522,VCORX,2023-01-11,9.16
523,VCORX,2023-01-12,9.23
524,VCORX,2023-01-13,9.2
525,VCORX,2023-01-17,9.19
526,VCORX,2023-01-18,9.28
527,VCORX,2023-01-19,9.26
528,VCORX,2023-01-20,9.21
529,VCORX,2023-01-23,9.2
530,VCORX,2023-01-24,9.24
531,VCORX,2023-01-25,9.25
532,VCORX,2023-01-26,9.23
533,VCORX,2023-01-27,9.23
534,VCORX,2023-01-30,9.2
535,VCORX,2023-01-31,9.21
536,VCORX,2023-02-01,9.27
537,VCORX,2023-02-02,9.28
538,VCORX,2023-02-03,9.21
539,VCORX,2023-02-06,9.15
540,VCORX,2023-02-07,9.13
541,VCORX,2023-02-08,9.15
542,VCORX,2023-02-09,9.11
543,VCORX,2023-02-10,9.07
544,VCORX,2023-02-13,9.09
545,VCORX,2023-02-14,9.06
546,VCORX,2023-02-15,9.04
547,VCORX,2023-02-16,9.01
548,VCORX,2023-02-17,9.03
549,VCORX,2023-02-21,8.95
550,VCORX,2023-02-22,8.97
551,VCORX,2023-02-23,9.0
552,VCORX,2023-02-24,8.95
553,VCORX,2023-02-27,8.96
554,VCORX,2023-02-28,8.94
555,VCORX,2023-03-01,8.89
556,VCORX,2023-03-02,8.87
557,VCORX,2023-03-03,8.93
558,VCORX,2023-03-06,8.92
559,VCORX,2023-03-07,8.91
560,VCORX,2023-03-08,8.9
561,VCORX,2023-03-09,8.93
562,VCORX,2023-03-10,9.03
563,VCORX,2023-03-13,9.09
564,VCORX,2023-03-14,9.04
565,VCORX,2023-03-15,9.11
566,VCORX,2023-03-16,9.07
567,VCORX,2023-03-17,9.14
568,VCORX,2023-03-20,9.1
569,VCORX,2023-03-21,9.08
570,VCORX,2023-03-22,9.16
571,VCORX,2023-03-23,9.19
572,VCORX,2023-03-24,9.19
573,VCORX,2023-03-27,9.11
574,VCORX,2023-03-28,9.1
575,VCORX,2023-03-29,9.1
576,VCORX,2023-03-30,9.12
577,VCORX,2023-03-31,9.13
578,VCORX,2023-04-03,9.17
579,VCORX,2023-04-04,9.21
580,VCORX,2023-04-05,9.24
581,VCORX,2023-04-06,9.23
582,VCORX,2023-04-10,9.17
583,VCORX,2023-04-11,9.18
584,VCORX,2023-04-12,9.19
585,VCORX,2023-04-13,9.18
586,VCORX,2023-04-14,9.13
587,VCORX,2023-04-17,9.1
588,VCORX,2023-04-18,9.11
589,VCORX,2023-04-19,9.1
590,VCORX,2023-04-20,9.13
591,VCORX,2023-04-21,9.12
592,VCORX,2023-04-24,9.15
593,VCORX,2023-04-25,9.22
594,VCORX,2023-04-26,9.18
595,VCORX,2023-04-27,9.14
596,VCORX,2023-04-28,9.16
597,VCORX,2023-05-01,9.07
598,VCORX,2023-05-02,9.16
599,VCORX,2023-05-03,9.19
600,VCORX,2023-05-04,9.18
601,VCORX,2023-05-05,9.15
602,VCORX,2023-05-08,9.11
603,VCORX,2023-05-09,9.1
604,VCORX,2023-05-10,9.15
605,VCORX,2023-05-11,9.17
606,VCORX,2023-05-12,9.13
607,VCORX,2023-05-15,9.11
608,VCORX,2023-05-16,9.09
609,VCORX,2023-05-17,9.07
610,VCORX,2023-05-18,9.03
611,VCORX,2023-05-19,9.01
612,VCORX,2023-05-22,9.0
613,VCORX,2023-05-23,9.01
614,VCORX,2023-05-24,8.99
615,VCORX,2023-05-25,8.95
616,VCORX,2023-05-26,8.96
617,VCORX,2023-05-30,9.02
618,VCORX,2023-05-31,9.02
619,VCORX,2023-06-01,9.04
620,VCORX,2023-06-02,9.0
621,VCORX,2023-06-05,9.0
622,VCORX,2023-06-06,9.01
623,VCORX,2023-06-07,8.96
624,VCORX,2023-06-08,9.01
625,VCORX,2023-06-09,8.99
626,VCORX,2023-06-12,9.0
627,VCORX,2023-06-13,8.96
628,VCORX,2023-06-14,8.97
629,VCORX,2023-06-15,9.03
630,VCORX,2023-06-16,9.01
631,VCORX,2023-06-20,9.03
632,VCORX,2023-06-21,9.03
633,VCORX,2023-06-22,8.99
634,VCORX,2023-06-23,9.02
635,VCORX,2023-06-26,9.03
636,VCORX,2023-06-27,9.01
637,VCORX,2023-06-28,9.04
638,VCORX,2023-06-29,8.97
639,VCORX,2023-06-30,8.97
640,VCORX,2023-07-03,8.95
641,VCORX,2023-07-05,8.92
642,VCORX,2023-07-06,8.86
643,VCORX,2023-07-07,8.85
644,VCORX,2023-07-10,8.88
645,VCORX,2023-07-11,8.9
646,VCORX,2023-07-12,8.98
647,VCORX,2023-07-13,9.03
648,VCORX,2023-07-14,8.99
649,VCORX,2023-07-17,9.01
650,VCORX,2023-07-18,9.01
651,VCORX,2023-07-19,9.04
652,VCORX,2023-07-20,8.99
653,VCORX,2023-07-21,9.0
654,VCORX,2023-07-24,8.98
655,VCORX,2023-07-25,8.98
656,VCORX,2023-07-26,9.0
657,VCORX,2023-07-27,8.93
658,VCORX,2023-07-28,8.96
659,VCORX,2023-07-31,8.95
660,VCORX,2023-08-01,8.89
661,VCORX,2023-08-02,8.87
662,VCORX,2023-08-03,8.81
663,VCORX,2023-08-04,8.88
664,VCORX,2023-08-07,8.87
665,VCORX,2023-08-08,8.9
666,VCORX,2023-08-09,8.91
667,VCORX,2023-08-10,8.86
